"name_mapgovpoint";"addr_mapgovpoint";"gps_lat";"gps_long"
"Kantor Camat Bojong Gede";"Jl. Raya Bojonggede No.316, Bojonggede, Bojong Gede, Bogor 16320, Telp: (021) 8781078";"-6.483816";"106.799348"
"Kantor Camat Leuwiliang";"Jl. Moh Noh Nur, Leuwiliang, Bogor 16640";"-6.57677";"106.635715"
"Kantor Camat Ciampea";"Bojong Rangkas, Ciampea, Bogor 16620";"-6.554946";"106.697082"
"Kantor Camat Cibungbulang";"Jalan KH Umar Cirangkong, Desa Cemplang Kec.Cibungbulang Bogor, 16630";"-6.57449";"106.6669"
"Kantor Camat Pamijahan";"Jl.Gunung Salak Endah no.2 Desa Gunung Sari, Kecamatan Pamijahan, Kabupaten Bogor 16636, Telp/Fax: (0251) 8640509, email : kecpamijahan@bogorkab.go.id";"-6.671667";"106.663717"
"Kantor Camat Rumpin";"Jl. Prada Samlawi No.02, Rumpin, Bogor 16350";"-6.442162";"106.640901"
"Kantor Camat Jasinga";"Jalan Raya Bogor - Cigelung No.01 Bogor 16670, Telp: (0251) 8688785, email: kecjasinga@bogorkab.go.id";"-6.48351";"106.469633"
"Kantor Camat Parung Panjang";"Jl. Raya Moh Toha Nomor 1 Parungpanjang, Telp. / fax (021) 5979148, email : kecparungpanjang@bogorkab.go.id";"-6.341668";"106.571467"
"Kantor Camat Nanggung";"Jl. Raya Ace Tabrani No.32, Parakan Muncang, Nanggung, Bogor 16650";"-6.597729";"106.539593"
"Kantor Camat Cigudeg";"JL. Raya Jasinga Km. 35, Kode Pos 16660, Telp. 0251 8682011, Email : Keccigudeg@bogorkab.go.id";"-6.547643";"106.532664"
"Kantor Camat Tenjo";"Jln.Raya Jasinga-Tenjo KM.18.55 Bogor 16370, Telp/Fax: 021 59760015, Email: kectenjo@bogorkab.go.id";"-6.339321";"106.440804"
"Kantor Camat Ciawi";"Jl. Raya K.H.R Moch. Toha No. 362 Ciawi-Bogor 16720, Telp. (0251) 8240234, email: kecciawi@bogorkab.go.id";"-6.662181";"106.853163"
"Kantor Camat Cisarua";"Jl. Raya Puncak - Cianjur No.520, Leuwimalang, Cisarua, Bogor 16750, Telp .0251 8254031";"-6.680613";"106.934203"
"Kantor Camat Megamendung";"Jl. Lentan Suryanta No. 9 Sukamaju 16770, Tlp/Fax 0251-7555536, email : kecmegamendung@bogorkab.go.id";"-6.674893";"106.883359"
"Kantor Camat Caringin";"Jl. Mayjen HR. Edi Sukma KM. 17 Caringin - Bogor 16730, Telp/Fax. 0251 8241392, email : keccaringin@bogorkab.go.id";"-6.703843";"106.824883"
"Kantor Camat Cijeruk";"Jalan KH. Halimi No. 04 Desa Cipelang Kecamatan Cijeruk Kabupaten Bogor, Kode Pos 16740, Telp/Fax : (0251) 8212375";"-6.697987";"106.796579"
"Kantor Camat Ciomas";"Padusuka No.343, Pagelaran, Ciomas, Bogor 16610";"-6.602435";"106.76531"
"Kantor Camat Dramaga";"Jl.R.Soewandana No.74 Desa Dramaga, Kecamatan Dramaga, Kabupaten Bogor 16680 , Telp/Fax : 0251-8623002 / 0251-8623002, email : kecdramaga@bogorkab.go.id";"-6.575719";"106.737937"
"Kantor Camat Tamansari";"Sirnagalih, Tamansari, Bogor 16610, Telp: (0251) 8487111";"-6.644802";"106.765653"
"Kantor Camat Klapanunggal";"Jl. Raya Narogong, Kembang Kuning, Klapa Nunggal, Bogor 16710";"-6.449903";"106.935872"
"Kantor Camat Ciseeng";"email : kecciseeng@bogorkab.go.id, website : http://kecamatanciseeng.bogorkab.go.id";"-6.446257";"106.685053"
"Kantor Camat Rancabungur";"Jl. Letkol Atang Senjaya Telp. ( 0251 ) 8624001 Bogor 16310, email : kecrancabungur@bogorkab.go.id";"-6.540684";"106.709472"
"Kantor Camat Sukajaya";"Jl. Raya Sukajaya Km. 08 Telp. 0251 8682917 Kode Pos 16660, email : kecsukajaya@bogorkab.go.id";"-6.594062";"106.477977"
"Kantor Camat Tanjungsari";"Pasir Tanjung, Tanjungsari, Bogor 16840";"-6.605575";"107.149038"
"Kantor Camat Tajurhalang";"Jl. Manunggal No. 1 Tajurhalang - Bogor No. Telp. (0251) 8552610 Kode Pos. 16320";"-6.4745";"106.757258"
"Kantor Camat Cigombong";"Cigombong, Bogor 16110";"-6.743253";"106.803152"
"Kantor Camat Leuwisadeng";"Jalan Raya Bogor - Jasinga Km. 24, Telp. ( 0251 ) 8643608";"-6.565256";"106.614498"
"Kantor Camat Tenjolaya";"Jl. Raya Abdul Fatah, Tapos I, Tenjolaya, Bogor 16370";"-6.644707";"106.693678"
